ЕРБСММЮ=Единый Реестр Ботов-СММщиков Ютуба. Список активно не ведётся. Подробнее: [1](https://t.me/YTObserver/118), [2](https://t.me/YTObserver/129), [3](https://t.me/YTObserver/138), [4](https://t.me/YTObserver/148), [5](https://t.me/YTObserver/148), [6](https://t.me/YTObserver/151)
UCLlwv6zNyhg9neqbio2PaRA=22 Sep, 2016 #1
UCaSW4tAGsVNiG3duyTyhMeA=26 Sep, 2014 #1
UCEs5mWJq0ZYNmOg-zwNOJbQ=9 Apr, 2016 #1
UCng9Q3L4NJvZazIkMi68qOw=8 Mar, 2017 #1
UCLlyhXSFfTjiYaJN29GhbqA=23 Jun, 2018 #1
UC7c9wfXMZn_PU89xWRGLpqg=16 Jun, 2018 #1
UCPxUZ61eBov53QIsOj9DIkw=8 Apr, 2017 #1
UCZrsuOW6gqZElcvHi0QnG5w=16 Sep, 2017 #1
UCGuU4NFu6LpNV0HlCHDCXDw=3 May, 2015 #1
UCBhIjuSy_jWybLvBK86r3SA=2 Aug, 2017 #1
UCKsKNC5VtHJI9SILL0tv9cQ=1 Jan, 2018 #1
UCULQJhUMkeFz-5d8F9myRUg=10 Jun, 2018 #1
UCxFB_JBOzUe7RQFfVIsqrdg=12 Jul, 2015 #1
UCE1CuRnRvftrYOsGwRNfosA=26 Oct, 2015 #1
UCqvupLv7z6JwW_MuTly5mtA=18 Apr, 2013 #1
UCaQ4Qa0Mh1CeqYNFFPmshoQ=27 Jul, 2017 #1
UCZdzXRz50mVzzQIgIvDmOAg=2 Apr, 2018 #1
UCd736XCELFs3f_7Ae2omXsQ=6 Mar, 2016 #1
UCPgGsA862cOPjVXTljZpPXQ=20 Jan, 2017 #1
UCOeQoxbFSHTYamGIb-2qPlg=26 Apr, 2015 #1
UCnHSzy49hzo97CIWb7avbEw=6 Oct, 2011 #1
UCADyF1uTWXRp9drRYmwUBSQ=27 May, 2015 #1
UC1rsy1TAa-9A6md8cxNACpQ=17 Feb, 2014 #1
UCEel-xhlMXtnkZTQOkBLSaA=12 Jun, 2018 #1
UCu04bDOesVEekLn8RmGQeTA=5 Jun, 2018 #1
UCWpLWQTIBLnkfKkbla3P_-Q=27 May, 2018 #1
Roma010178=24 Jan, 2011 #1
UCSZeU4nGVQ3SUoF5zR-Nw-g=23 Aug, 2017 #1
UCvNUqK_FhylMl-77EoZqGkQ=5 Dec, 2017 #1
Alika806=2 Aug, 2011 #1
UCBNfB2rPy_s5AePCgZOGDSA=5 Nov, 2017 #1
UCnqJEQeVHQBwp1GLIbdxeBw=24 Jun, 2013 #1
UCxlBT8rM2Ije7S_q7ELT-kQ=5 Dec, 2017 #1
UC_vBwwp2IldQ-08l0HdD4Jw=17 Sep, 2017 #1
UCl_MzU8LYODEhf6i1tPpBPg=29 Aug, 2017 #1
UCni-tpoBS-Ij5dbNYVQDxPA=27 Apr, 2017 #1
UCSSfC6eTgPfqJkvuWJhXkNA=1 Sep, 2017 #1
UCrF_1sY5aMtZWyFGwG47q7Q=5 Nov, 2017 #1
UCJ54R_JPzj7WNjRnzNoNVoA=6 Apr, 2018 #1
UCORVOE7vvcDb5nJnby39Csw=10 Apr, 2015 #1
UCcb9qcYw7JfWMF2-r2lJvsw=23 Sep, 2017 #1
UCD8VKanbg5nlN6pGoR5s6zQ=20 Nov, 2017 #1
UCNgvTWX9xOJKIXhLgzRw8fQ=28 Feb, 2016 #1
UCuxILUT77lL4Wsd4_hkjxNA=23 Sep, 2017 #1
UCR4FaZ9fZ73Dp9uQYUThA4Q=5 Dec, 2017 #1
UCN_pe7gg3ouuO_3KV7eNA3A=17 Dec, 2017 #1
UCsosIN2r3TpSlk6-eCdzRiw=19 Dec, 2014 #1
UClKVlGUyhMtLumb_NIcuKUw=17 Sep, 2017 #1
UCx_VgzLQQ6BFn7z42E0mXCQ=8 May, 2017 #1
UCOuj1KtmzfMIeuEM9XTLyPw=25 Mar, 2017 #1
UC91scGujgeJoEWlTLjcJ3uA=17 Sep, 2017 #1
UCeBU9FnvpiOlsl9H7aH30Xg=6 Oct, 2017 #1
UCZ8lXq3xsVrt0JmIQHocwng=14 May, 2018 #1
UCujx4ipLPAevX3TQH3HiMNw=20 Apr, 2014 #1
UCDhAV6jOX_zDBRZU7zp9Huw=7 Feb, 2018 #1
UCZ0c9s9upLm5OhNlbgBAh9g=5 Dec, 2017 #1
UCoNYothazy06--2S_N7ch2w=27 Nov, 2017 #1
UCJF5JYeHGbzBgCXsRZs-oRA=16 Sep, 2017 #1
UCCSQQiP37ceoGhjkuza65Jg=5 Nov, 2017 #1
UCf-raO7Czx9H19E3_zN971g=5 Nov, 2017 #1
UCsJ3qEfQDhot9o7bDJDFOEA=17 Sep, 2017 #1
UCizSI3EiuCxGE9ILJqZFnZw=5 Dec, 2017 #1
UCXoMKnzeBKPeOQ0eeWpDogQ=17 Sep, 2017 #1
UCVTIF2u3-pEwBH48rmfD2hg=17 Sep, 2017 #1
UCFAFxNSvVZyQA7EJSnD9KGw=5 Dec, 2017 #1
UCv7a78LurqOxb6NI46ldKWA=31 Aug, 2017 #1
UCvrrnLFdY195HTcyqKN78Lg=7 Feb, 2018 #1
UCLKCRf5aUI3EuxtimhxUbFA=21 Apr, 2016 #1
UCs-9wF1R6QZiBzqEqBD_xNw=5 Dec, 2017 #1
UCfwKPJnrnPIldbXZ6NYnd4Q=5 Dec, 2017 #1
UCl0UBTDeozKjzK1bJ6yfRkQ=31 Aug, 2017 #1
UCEFlajybiWBJ3lk55RW5R2Q=26 Jun, 2012 #1
UCdOjqj_wt_qwGeKZECsVzNg=10 Jun, 2018 #1
UCPSknNDwjRUR9vJdDYXWFfw=5 Dec, 2017 #1
UCsio1GtllmshaBhA0PcxTQQ=5 Dec, 2017 #1
UC7-nxBBjLsvsUztU5SmP0DQ=5 Dec, 2017 #1
UCyOltKmJgwmce-EvIc7sZgw=21 Apr, 2014 #1
UCLRWhCRXh2_g0xYQDeP31Xg=5 Dec, 2017 #1
UC3n-PWfWB-RjKWp_AWjOPOw=5 Dec, 2017 #1
UCcNiG1p6PH-ohC9icQkK0Aw=25 May, 2017 #1
UCIzfcrCg3ncEtNP-yoKq3Xg=10 Jan, 2018 #1
UCc0wIxxF0Xl-PPZSrRpMdQg=7 Jun, 2013 #1
UC64MekDMGodh0OKr-aQN4ng=6 Mar, 2015 #1
UC9nre8ZlrWYpnVCPC8TjQlw=27 Nov, 2016 #1
UCMSC24xragb2OPYDE3cVYyg=26 Feb, 2016 #1
UCRJX6mk0xBtU8rW23LGlEbQ=20 Jul, 2016 #1
UCjEv8ul_EOdA5ytKGq152Yw=4 May, 2016 #1
UCq0zF9Zn3zp2j93M1VB4Y3A=2 Jun, 2016 #1
makarabus1978=2 Oct, 2010 #1
UCY47CtKA5zwh2YEhst7PaaQ=8 Jul, 2015 #1
UCMTgUy3qj5pS3N3rAUxVlIw=27 Mar, 2013 #1
UCvdjijK4i0zSaBt5hBlqegg=10 Jan, 2018 #1
UCU5tvrIUyGy4WCAH-iL5T7w=5 Jun, 2018 #1
UC2lhO622EsxD6muQyxTjbhA=5 Jun, 2018 #1
UCj2YsqNkriF3c0EtiZI359Q=10 Jan, 2018 #1
UCPahIbJ3RFKKH0gRBE7D8FQ=5 Jun, 2018 #1
UCzKvixJWPw0L42ipvds2-VA=5 Jun, 2018 #1
UCTiez9Egf9KRZ7F_1weFkNw=5 Jun, 2018 #1
UCf_nibXVFcczoamh-01w_pQ=5 Dec, 2017 #1
UCEvpN3kqZT9zP0UM4XfFE9w=5 Dec, 2017 #1
UCScMFiTX9LO76yKm0Xsn5iA=17 Apr, 2018 #1
UC7H4HY5meCVjD9xYQsiVKiA=28 Jun, 2017 #1
UCsdkA4ymgW93qFeNQYX11Qg=17 Sep, 2017 #1
UC_r2fhVgsg1ucvOhk_7rtow=20 Nov, 2017 #1
UCvFbjynOTRoIBNc7zWsPR-g=14 May, 2018 #1
UCVyo87r04vL6RZ3VvgiuqoA=20 Nov, 2017 #1
UCb4zpQOPQ8KWFxNUs5D7o0g=20 Nov, 2017 #1
UCwH3Nv3zboLMx0mxILK9OyA=5 Dec, 2017 #1
UCQCFmGo8PJNIAj9jAyBd9Hw=8 May, 2017 #1
UCGyH8uLS60HIGlMAn8yeigA=5 Dec, 2017 #1
UCL2ZMt38_tzyRlhQg0JoWxQ=29 Sep, 2017 #1
UCaiEy3G98SFntR-irs7vqtQ=5 Dec, 2017 #1
UCwx-Djt5oshiDzLxPFkHGEA=5 Dec, 2017 #1
UCMLrcFVu9ODiwTUk-a5K0yA=20 Nov, 2017 #1
UCvyz4tzWjaBNvtHHv7MQmlQ=28 Jun, 2017 #1
UCbu6deBgEUg04xgi7_FKnhg=27 Mar, 2018 #1
UC39huIre8V70ODJJcWtrM4g=6 Apr, 2018 #1
UCU0_EMNT0uJKAy58sln-2sQ=6 Apr, 2018 #1
UCM7v2BmWw5VkCuieTmJjdgQ=6 Apr, 2018 #1
UCFOsYhlwyxBsHftURl45nNA=27 Mar, 2018 #1
UCJOph7mUpq3_3ax0dNwq0Kg=6 Apr, 2018 #1
UCNBTUGCbEwKA543IUzeemUw=27 Mar, 2018 #1
UCa_TfPAoIjNc97b3WOOlZKQ=6 Apr, 2018 #1
UCbBnl5p4oZAiw3lMXukAFBA=8 Apr, 2015 #1
UClUSGm99Go3E1n6CtYVOxag=28 May, 2012 #1
UC_zhXnJkMKIP_tSIY9Ed8mg=9 Jun, 2016 #1
UCwtalg1wEOpqApfbdSQ3Odg=20 Nov, 2017 #1
UC9_Bf-Z0xbt9gJEs8liwQcA=7 Jul, 2015 #1
UCVSkctFZ8LaP5VP_faBvidw=11 Jun, 2018 #1
UCdnKChURd0JiH9p2XD80G5g=3 Jan, 2017 #1
UCIc8bB5JDOKKpljNo9bPPbw=16 Dec, 2012 #1
UCGRboehBsX_sC_6mQMzvrOw=22 Feb, 2018 #1
UCrkeoCKHBakb9Rb9Ug06dbQ=21 Feb, 2017 #1
UCFIMmxiUCZAfFkfY3uPaqEA=20 Jul, 2017 #1
UCIPg0twXoYDONQJEOglUtOw=20 Aug, 2017 #1
UCtJImAP4iVG0dosQ-VHZIjg=6 Apr, 2018 #1
UCUFdJurxqJqZ-tR-xwrV54w=6 Apr, 2018 #1
UCcO48YJjwiYIsw4ExkAEyIQ=21 Nov, 2016 #1
UCbNb0og2kYX2WQ4AOPxjRTA=15 Mar, 2018 #1
UCLwOgKW9NoR71kMnp4mdoFg=24 Apr, 2018 #1
UCIorHFjdAU4Sqao6kMxSGkg=3 Dec, 2011 #1
UCfp6vLA5KUq5TzopVUMtYRA=6 Dec, 2015 #1
UCr6upagSNhjGHM37I8HFSVA=23 Jun, 2014 #1
UCYHYSAa9CSf0Ed5utTjGFNQ=27 Mar, 2018 #1
UC-5NEA-XbuRgCZWUG7T5SlQ=6 Dec, 2017 #1
UCZTV7cDLlDSd7H-LmkIkaUg=10 Jan, 2018 #1
UCvUvcEk2dvrejQMo-ccx_Ew=20 Dec, 2016 #1
UCBnaAIrTXlar89UuJOL79FQ=25 May, 2013 #1
Tolik2974111=14 Aug, 2010 #1
UCmvXz2Qby4jquk4ZKl7wgDQ=2 Oct, 2016 #1
UC40DhahNDP4AjBUBmt06jrw=10 Sep, 2016 #1
UCsM3JYQUsB-YvuEIZh9-mCQ=2 Jan, 2016 #1
UCZ3tq2mvG-9KdmdJHlfL5NA=22 Jan, 2017 #1
UCI2EP__lPcRjjuqFjgaCm6w=2 Aug, 2012 #1
UCEI9LS0YMoz5gnkATcl9Wjg=13 Feb, 2018 #1
UCQmlhSNcCWGVPbdgSM9Jjug=21 Nov, 2017 #1
UCSXLZHLXiMEVAxHmZRUO09Q=18 May, 2018 #1
iscanderz=3 Jan, 2007 #1
UCZZ3T_skH6X4mOjWRQhjLIw=18 Feb, 2016 #1
UCEpGNa5uUAEEx0kkbSBk5vw=19 Jan, 2016 #1
UCbpfR0mCeb_pQ_GMmy972GQ=4 Jun, 2012 #1
UC9U4Yfc4d9mFWNTC6wcYtIg=27 Oct, 2016 #1
UCZHIVR3lVhAidpFq6YgDmZQ=16 Apr, 2012 #1
UC8NLER-XnGHN4Efezkd4HGw=18 Jan, 2018 #1
UC1TuGzPiQcbP-gyonTu914Q=1 Feb, 2018 #1
UCFSs4K8spQH3qgyiPa1-SPg=16 Apr, 2014 #1
UCcF_nPrCPF9FmLynZGnspZw=30 Sep, 2011 #1
UCHFUA2J8-h_qRPIRCUVfqrA=9 Nov, 2014 #1
UCzOj9Q3T34VXsj5OOl_CeAA=22 Jul, 2016 #1
UCCdqWx8S5J-8P1l6Mgoz5TA=19 Apr, 2017 #1
UCyBJU3cg-1ypOYox4EZipvA=15 May, 2014 #1
UCCgggr3CzaaepI9KA6y6qnw=20 Aug, 2017 #1
UCZsdlvXUsgvOEs5Y1vUeIBA=13 Jun, 2017 #1
UCzsxHybpq89jctMuHxBXUyA=7 Dec, 2012 #1
UCVELNlJezc0nmzCfwt4up5A=20 Dec, 2015 #1
UCKayIsJvbmWQXNBZsFbmPHQ=26 Feb, 2013 #1
UCvitlcPFCLzNvKoVIw4xqnA=11 Sep, 2016 #1
UCkHWcglTzdgUKsJc_f3IR1Q=16 Jul, 2016 #1
UC0Q-Fku_9k9kXisgESPmLCw=18 Mar, 2018 #1
UCDlYusNQryM5SV4fzkMT4EQ=6 Aug, 2017 #1
UCk-MjcuO7SASsAPuaPfilLA=4 Nov, 2016 #1
UCSkpPj6uM0ic9Q4X-5MIiVA=1 Dec, 2017 #1
UCao3CWy7kw5riu8Sh3h4DVA=18 Sep, 2017 #1
UC5uTIKBvYDt90OmrtbZ29mw=20 Jul, 2017 #1
UC7xpD_xDrH_MU6HZ8toe7mw=15 Jul, 2016 #1
UCDmmMD_9MkOpTvGZEhYieIQ=19 May, 2016 #1
UCGNfm1qphiQpND8Fmw15SgA=22 Aug, 2017 #1
UCE0WXcWSIfuLokEHb_ptbwA=12 Jul, 2017 #1
UCk_lDCi885H0eOndDs2WVeg=17 Feb, 2018 #1
UCYfWCxGkbKI5GcTcxqgTpcQ=10 Feb, 2015 #1
UCrPdJR-FJNuHFXz-i_XV3Ow=18 Nov, 2017 #1
UCuHyuUdiT-hk6qWP_9Hj6Tw=22 Oct, 2011 #1
UCSu1gRLr7uCK6eU4EiA1Cdw=24 Jan, 2018 #1
UCOTB9D0FThDTlZLwlwi-FNA=19 Apr, 2012 #1
UCqzb_o3e91RU5f7pH22oaig=23 Nov, 2014 #1
UCi_2yjsZ0LVmPGJ6pNVhFdg=25 Jun, 2015 #1
UCRbCrk5r_NBs2Yrxk24XXsw=2 Nov, 2017 #1
UClWLeWu_SZTdR4mycRfHlSg=5 Apr, 2018 #1
UCMOpOZ6PMb7yfDEnQCXNQ5A=7 Apr, 2017 #1
UCXgJLqbpjeKanoq5TIi8uvQ=17 Sep, 2017 #1
UCm7AlydspdN8ICH9PCarwQA=15 Jan, 2014 #1
UC39LBDMAGvSNhyz_Jh6Q5Ew=15 Sep, 2017 #1
UC3TrE6Wo9wVkZGT3lwHatuA=10 Apr, 2018 #1
UC4nyzjwsq8liwbj8AleLzOw=21 Feb, 2016 #1
UCA9lbOyEaNWKQLIffs7Qb8w=20 Mar, 2017 #1
UCWnf-MifE9GkWzVD4IWSUhA=11 Dec, 2015 #1
UCU9KCnT6cXyGf1KXH26OaKw=26 Feb, 2014 #1
UC-a3JIN1MFMQu8Sbw1OmoIw=10 Apr, 2016 #1
UCKXdVVM18ormm71JWr1mMIQ=6 Oct, 2016 #1
UCuEL5cc1KCQ08Yj56CRogoA=29 Feb, 2016 #1
UC8HZoLuFLDZH0NKpo29rOuQ=14 Mar, 2017 #1
UCtq5M2l1XHkVrsS3-sYl0WQ=29 Dec, 2015 #1
UCP-oUDaRfRKH4y7S0JWbdoQ=6 Sep, 2015 #1
UCMQELYMve8mpU8pW5NP9AqA=15 Oct, 2014 #1
UC0UFU-sDWZbI0aqC65w7sUw=14 Jun, 2014 #1
UC5UxmipDuMtMac6clIJMqCw=5 Apr, 2018 #1
UCk-LzDbpEl7xV2ljWG3JNCg=31 Jul, 2015 #1
UCXfKaA8loa_eAYUxVU_z5pQ=18 Dec, 2015 #1
UC0vSOl_N0xNaOKoq-vWPhag=30 May, 2018 #1
UC7R1uy6mRsvmxh-xQzs3iKA=19 Oct, 2017 #1
UCclYkuyAarlNnx_zmS67YRQ=1 Dec, 2016 #1
UCTOfXUWh79PrYuxQ-Xf2Ctg=7 Dec, 2013 #1
UCHyKWWCi142EWG8dZNon_ew=22 Feb, 2018 #1
UCWm198xyk0Yud6V_tYNh5fA=4 Dec, 2014 #1
UC_j1ebbTtMSJvU3bVCA65kg=7 Apr, 2018 #1
UCw5LQq1PE75k68WIxtLUbpg=6 Jun, 2018 #1
UCFFXzEt7HAkwBb1u6QOD0kA=29 Dec, 2017 #1
UC4NiiB_WxBVTPlII660MnKQ=30 Jan, 2018 #1
UCZRe9_SnQjVb1ogOf2H7uaA=14 Jun, 2014 #1
UCSVd2-9-5Jan3YIshwHHodw=28 Jan, 2014 #1
UCUSSNQ20GzQEDfeQAfoh4lA=28 May, 2018 #1
UCIN79ZybNvUxh5jEgMU4p5A=18 May, 2018 #1
UC92B6_fD8BzEJiD4m7MFbMw=12 Aug, 2013 #1
UCd7E7i3sJt_UaHoFE0d3WBA=1 Dec, 2015 #1
UCfOTBww63a9MzG__wCgSJWw=17 Jan, 2015 #1
UCML-U23ROHucvXRgAIwKzKA=4 Jun, 2018 #1
UCOuRzsKGqxfNXL3U6euTHgA=4 Jun, 2018 #1
UC-GEuXBGxUlgKaBsXeRKsdA=4 Feb, 2018 #1
UCzK8CSPn2-_7dY7pKhqkRCg=3 Jan, 2015 #1
UC62pkf-6FhLHhK04srCN7Yg=25 Mar, 2017 #1
UCYVZayzkgdmvFSe3ughWkWw=9 Apr, 2016 #1
UCE3u4RBc0kVCPBhI5625QMw=17 Dec, 2015 #1
UCMU8NcGtxuBS6DPKK2ZS6GQ=6 Mar, 2018 #1
UChCu0Kr8u0DkYiW6GBxEPDQ=12 Nov, 2015 #1
UCVJnV67p1udNhmOJNYte6Kw=11 Mar, 2016 #1
UCMvAupV0cm87x69FI9miJfA=5 Nov, 2014 #1
UCe28yBNi7YT4a90hCFE0J4Q=3 May, 2018 #1
UCVKl-NIuQ4GSES1ZHsj7ziQ=16 Oct, 2017 #1
UCpMol4z9Um4qPpZa-b57LTQ=26 Apr, 2014 #1
UCTsGVM6U86MF1wg1AHNyM8Q=27 Feb, 2014 #1
UCsIbMpE6Hbp4grtGKbyOSAA=26 Jan, 2017 #1
UCL0R_L0TVRZldWZHcKZ91_Q=15 Aug, 2015 #1
UCZg_yRmf57pdpX2fURZ8lag=5 Dec, 2014 #1
UCqsyDLmXXQqlxrU0JGcOLEQ=1 Jan, 2015 #1
UCUPJf0KodkTYnDRz4Ir4j9Q=8 Mar, 2014 #1
UCOicgg3SN-3soKwX-xUf5LQ=18 Dec, 2017 #1
UC8RFLQXODgowfjk856QA8Tg=15 May, 2018 #1
UCyBh2B-UUYNj1P2BYY4gNhA=26 Jul, 2017 #1
UCTAvegZG_qRdG7pNGkZVJGQ=28 Apr, 2017 #1
UCvPBH4Uk-33DdMMT-stpY7Q=27 Jun, 2014 #1
UChYhZvP74nql6Y1YgtP9OTw=21 May, 2018 #1
UC4wuOp_LX4mb_FXOtClhxpA=24 Apr, 2017 #1
UCZySNssHw9YoMv1VYeysrUw=11 Dec, 2017 #1
UCbfP_F-ZNklLuaTZm2B8c_w=18 Jan, 2014 #1
UCuLmTxBzOZrCan6pSKPOZhg=26 Feb, 2018 #1
UC4Y1yuqAh4QQwzf2w8Y8tXw=24 Feb, 2017 #1
UCnv6PzGIDM7kszuUHnXW33g=3 Apr, 2014 #1
UCZMILcL6V30Xf7HNnn9QEuA=22 Jan, 2018 #1
UCOR0owZCMQtLDheUSXjA-KA=26 Jul, 2017 #1
UCzx9regTBysBOzD-UbfuxCw=5 Nov, 2016 #1
UCyklERCyLplIO6iwe_gnc4A=13 Feb, 2015 #1
UCFQS07NSSA5VKjnD18Nnp0Q=20 Dec, 2016 #1
UChMunDVPWMqBhvA5mTKHsNg=27 Mar, 2018 #1
UCb21lRTwZaA3DPp6T6LBE8Q=2 Dec, 2014 #1
UCaSPhSOeqf3IHyw60mD1t5A=28 Aug, 2017 #1
UCUq62ndR-JZhZ8AtSJYTMcA=15 Sep, 2016 #1
UCWALEQ1FDVj4pYJSxLkANrQ=3 Jan, 2015 #1
UCKx_rgdqQFN2mG-uWkoHGrQ=4 Sep, 2012 #1
UC8Lex-IyzZSo96l5En2EV9Q=18 Sep, 2016 #1
UC7ANREPgLviHCZIockaF99A=17 Sep, 2015 #1
UCOsypOEwJ4aOqWdJzzQxTlw=13 Nov, 2016 #1
UCyqCoO76iFMe-TIyWoIOjSw=19 Feb, 2018 #1
UCUgBg5LCjV0oDyXlJ16WSpQ=25 Feb, 2018 #1
UCzCoyygBLcJWx6lZt1mCjrg=17 Feb, 2016 #1
UCd8Yhmegrunbdqf_jRKjP3w=19 Jan, 2015 #1
UCQp14qK6-wWihbxj-A1mN7g=2 Jan, 2017 #1
UCXvyNxbg1FPUXg94zEaSKZg=14 Apr, 2012 #1
UCSz3hubaxzpqMUrjsDGzlCQ=10 Jan, 2018 #1
UCisswx2XxMVWPBAcbWtVC2g=16 Aug, 2014 #1
xbulchx=1 Jan, 2010 #1
stenli527=11 Dec, 2011 #1
UC9zzXhbJPXV-l9k9aEKmiLA=27 Apr, 2017 #1
UCGFTdOpBt0FMZuw67cgPUMA=16 Jul, 2016 #1
UCBI-Cqy-DZjgeS31BetGpRQ=16 Oct, 2016 #1
UCENTbK_B43-vnFEXEf7NeBg=27 Feb, 2014 #1
UC6RdbAtFUPAa7t32ke2rm4g=11 Nov, 2015 #1
Vitia28=18 Mar, 2011 #1
UC8_EeI2fqOEnkSDBViVygZg=12 Nov, 2016 #1
MrLemizerable=1 Jul, 2011 #1
UCYNC2yWZftSjbtrJmZQo_Fw=7 Sep, 2012 #1
UCR74xzeZvH9jX9Px9eluc7g=17 Oct, 2011 #1
SuperZion1000=12 Oct, 2011 #1
UCKZKTMS3gV8KEO0W3LqlvDg=25 May, 2017 #1
UCIk0_iRKuS40jDlKzR4cDKw=6 Jan, 2016 #1
UCPwTjGllR1tUUado6jV5ofQ=20 Jun, 2014 #1
UC1J1qEXl0ahYzR4kjEHvMeA=28 Dec, 2015 #1
UCsxGeR1tcDSwxbfbz8luO_g=14 Oct, 2012 #1
UC2yQLhTW7Pv83aavpbFRq8w=9 Nov, 2017 #1
UCsjATw8y8LqWbmNBeLlHfpw=19 Feb, 2018 #1
UCBYtZ031iUpir0Hvd0PW0jg=24 Dec, 2012 #1
UCw0_ihAz4FG8Di_NN4rwJXQ=17 Nov, 2015 #1
UCv0TZJtPCdyXYCYgQOwdRKw=6 Aug, 2014 #1
UCux8JXcc_IWEIJaV4SK9j7Q=19 Feb, 2018 #1
UCUbUtg-PbcxVndTAUU8L_Pw=2 Nov, 2014 #1
UC_NMhuxuuSRTThd2XxvJ4Gw=14 Mar, 2012 #1
UCv0cfuA8BbgcwUKHiBIb83A=29 Jul, 2015 #1
UCgBFXuJ7AipUsnenz8Zg7pg=9 Jun, 2018 #1
UCiG-a216ipFBDNnRA-H0OJw=10 Aug, 2016 #1
